"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"367","RT @OrganizingPower: Let’s all remember that unlike Medicare for All, Warren’s “public option” would not be free. Her plan would charge pre…",FALSE,0,NA,2019-11-20 23:56:02,FALSE,NA,"1197302613240360961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vote20208",31,TRUE,FALSE,NA,NA
"368","RT @th_pan: @washingtonpost #DemDebate 
#WFP4Warren 

Working Families Party For Warren",FALSE,0,NA,2019-11-20 23:56:02,FALSE,NA,"1197302613093572608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","th_pan",2,TRUE,FALSE,NA,NA
"369","RT @washingtonpost: @AnnaMills1953 the fifth #DemDebate is about to start. 

Join us for live coverage on https://t.co/TUUV9ilzyR and in ou…",FALSE,0,NA,2019-11-20 23:56:02,FALSE,NA,"1197302611969560576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AnnaMills1953",1,TRUE,FALSE,NA,NA
"370","RT @JulianCastro: I’m not on the #DemDebate stage tonight. Some have asked “why stay in?”

In the communities I grew up in, people didn’t q…",FALSE,0,NA,2019-11-20 23:56:02,FALSE,NA,"1197302611399135233",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","couldbethegriz1",2319,TRUE,FALSE,NA,NA
"371","RT @MSNBC: @TheBeatWithAri @hardball @allinwithchris @AriMelber @washingtonpost Join us tonight at 9 p.m. ET as we live-gif the #DemDebate…",FALSE,0,NA,2019-11-20 23:56:01,FALSE,NA,"1197302610337902592",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","smalonedesign",19,TRUE,FALSE,NA,NA
"372","RT @SEIU: How do we win higher wages and better jobs? Make sure everyone has the opportunity to join a #union, no matter where they work. W…",FALSE,0,NA,2019-11-20 23:56:01,FALSE,NA,"1197302607368380421",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mattalley413",7,TRUE,FALSE,NA,NA
"373","RT @MSNBCPR: TONIGHT: Catch moderators @MitchellReports, @Maddow, @KwelkerNBC and @AshleyRParker ask the top 10 candidates what voters need…",FALSE,0,NA,2019-11-20 23:56:00,FALSE,NA,"1197302607053762562",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lindacorbett18",70,TRUE,FALSE,NA,NA
"374","RT @MSNBC: @TheBeatWithAri @hardball @allinwithchris @AriMelber @washingtonpost Join us tonight at 9 p.m. ET as we live-gif the #DemDebate…",FALSE,0,NA,2019-11-20 23:56:00,FALSE,NA,"1197302605774499840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kjblackhawk",19,TRUE,FALSE,NA,NA
"375","RT @washingtonpost: @Phoenixwmn the fifth #DemDebate is about to start. 

Join us for live coverage on https://t.co/TUUV9ilzyR and in our a…",FALSE,0,NA,2019-11-20 23:55:59,FALSE,NA,"1197302601689260032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Phoenixwmn",1,TRUE,FALSE,NA,NA
"376","#impeachment all day and #demdebate all night. What a day to be working for the candidate who's #ForThePeople",FALSE,3,NA,2019-11-20 23:55:59,FALSE,NA,"1197302600389054465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Natalie_Dubs",0,FALSE,FALSE,NA,NA
"377","RT @GagePatrick: Happy Debate Day #KHive and good morning to my three new Marion precinct leaders <U+0001F31E> this is how we win! Can’t wait to watch…",FALSE,0,NA,2019-11-20 23:55:57,FALSE,NA,"1197302594055499777",NA,"<a href=""https://www.twitter.com"" rel=""nofollow"">first ever test</a>","baddersfreak",34,TRUE,FALSE,NA,NA
"378","Bob Krause is committed to caucus for @JoeforIA because Joe will clean up Trump's mess with no on-the-job training.… https://t.co/fnNwIBnJy9",FALSE,8,NA,2019-11-20 23:55:56,TRUE,NA,"1197302589735522305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MPrablek",1,FALSE,FALSE,NA,NA
"379","Do I have the time or energy to watch #DemDebate? Oh hell no! Not this week! Do I want to watch? Also no. Do I want… https://t.co/SoTT5kgWqD",FALSE,2,NA,2019-11-20 23:55:56,TRUE,NA,"1197302589664219137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abcronkhite",0,FALSE,FALSE,NA,NA
"380","RT @mwilsonGA: We’re outside the #DemDebate venue, cheering on our guy. Go @PeteButtigieg, go! https://t.co/ZsXXVBrFmP",FALSE,0,NA,2019-11-20 23:55:56,FALSE,NA,"1197302589177679873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KCAZgirl",58,TRUE,FALSE,NA,NA
"381","RT @TheEllenShow: The Democratic debate is on @MSNBC at 9PM ET tonight! My favorite little politician, Macey, is very excited to be there.…",FALSE,0,NA,2019-11-20 23:55:56,FALSE,NA,"1197302588225589248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaydelarosa07",135,TRUE,FALSE,NA,NA
"382","RT @ewarren: Donald Trump is the most corrupt president in our lifetimes. In a Warren administration, we’ll root out Washington corruption…",FALSE,0,NA,2019-11-20 23:55:54,FALSE,NA,"1197302578016591872",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nomisunride",339,TRUE,FALSE,NA,NA
"383","RT @jvplive: Just a reminder, JVP cannot comment on candidates because we are a 501-c3 nonprofit, but the newly hatched @JvpAction will be…",FALSE,0,NA,2019-11-20 23:55:53,FALSE,NA,"1197302577014202369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlissaShira",11,TRUE,FALSE,NA,NA
"384","@washingtonpost #DemDebate 
#WFP4Warren 

Working Families Party For Warren",FALSE,1,"washingtonpost",2019-11-20 23:55:52,FALSE,"1197296548599779328","1197302570978598914","2467791","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","th_pan",2,FALSE,FALSE,NA,NA
"385","RT @RealJusticePAC: RT if you agree that these topics should be discussed during the #DemDebate:

<U+27A1><U+FE0F> End cash bail
<U+27A1><U+FE0F> Restorative justice…",FALSE,0,NA,2019-11-20 23:55:51,FALSE,NA,"1197302568327745538",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T3MP3STT",88,TRUE,FALSE,NA,NA
"386","RT @farronbalanced: Super excited for tonight’s #DemDebate so I can hear people who get checks from millionaires tell me why a better futur…",FALSE,0,NA,2019-11-20 23:55:51,FALSE,NA,"1197302567807541248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FrankieJamesP",116,TRUE,FALSE,NA,NA
"387","RT @tictoc: These are the Democratic hopefuls you won't see at tonight's #DemDebate https://t.co/NS9i5UHvDK",FALSE,0,NA,2019-11-20 23:55:50,FALSE,NA,"1197302562057334784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaddenKathleen",3,TRUE,FALSE,NA,NA
"388","RT @AllOnMedicare: ""America's health care system is neither healthy, caring, nor a system.""

--Walter Cronkite 

#MedicareForAll #DemDebate",FALSE,0,NA,2019-11-20 23:55:47,FALSE,NA,"1197302551151923200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","genofthesea",11,TRUE,FALSE,NA,NA
"389","RT @caitoz: Rachel Maddow: Let's move on to foreign policy, which we'd like to keep down to a tight 18 seconds. If I could just have each o…",FALSE,0,NA,2019-11-20 23:55:45,FALSE,NA,"1197302543929339907",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CarrieAtFFCa",162,TRUE,FALSE,NA,NA
"390","RT @PPact: Voter suppression undermines our democracy. Urgent, structural change is required to ensure our institutions operate in the serv…",FALSE,0,NA,2019-11-20 23:55:44,FALSE,NA,"1197302536631308289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sfh2019",24,TRUE,FALSE,NA,NA
"391","RT @JulianCastro: In seven nights of #DemDebate there hasn’t been a question on housing, despite homelessness being on the rise and communi…",FALSE,0,NA,2019-11-20 23:55:43,FALSE,NA,"1197302535075368961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KUngernyc",475,TRUE,FALSE,NA,NA
"392","RT @amyklobuchar: HERE. WE. GO! Tune in to @MSNBC tonight at 9pm ET/8pm CT for the fifth #DemDebate. https://t.co/xJSg8QfURS",FALSE,0,NA,2019-11-20 23:55:43,FALSE,NA,"1197302533116575745",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wrap02",90,TRUE,FALSE,NA,NA
"393","So we're using #TulsiForPresident tonight?

Works for me.

#DemDebate https://t.co/csJGPHQ9GX",FALSE,7,NA,2019-11-20 23:55:42,FALSE,NA,"1197302529735954433",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SoulsOfTheFree",2,FALSE,FALSE,NA,NA
"394","Spoilers for tonight’s #DemDebate 

40 mins talking circles on health care

Bernie calls Pete a racist 

Warren cal… https://t.co/4SHTRvaiM7",FALSE,2,NA,2019-11-20 23:55:42,TRUE,NA,"1197302527521361923",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NotNejde",0,FALSE,FALSE,NA,NA
"395","DNC Chair Tom Perez says the deep field of candidates is a ""real asset.""

""I welcome Gov. Patrick and Mayor Bloombe… https://t.co/m9mp0a3Ea5",FALSE,0,NA,2019-11-20 23:55:41,TRUE,NA,"1197302524400799744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hayleymiller01",0,FALSE,FALSE,NA,NA
"396","RT @AtlantaYang: We are here, #YangGang! Right in front of the studio. #DemDebate https://t.co/kSB99beOTR",FALSE,0,NA,2019-11-20 23:55:41,FALSE,NA,"1197302524073725952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pynkairplane",81,TRUE,FALSE,NA,NA
"397","RT @deerretlaw: Everybody say, ‘President!’ <U+0001F1FA><U+0001F1F8> #DemDebate https://t.co/YHAw5FvD5p",FALSE,0,NA,2019-11-20 23:55:40,FALSE,NA,"1197302520609157122",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WinstonOrozco_1",48,TRUE,FALSE,NA,NA
