"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1199","RT @LilaGraceRose: It is exhausting to hear the Democratic candidates claim moral superiority when almost all support killing babies up unt…",FALSE,0,NA,2019-12-11 16:21:42,FALSE,NA,"1204798420709466112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wohl34",1128,TRUE,FALSE,NA,NA
"1200","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:20:56,FALSE,NA,"1204798230724169728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tuser5555",529,TRUE,FALSE,NA,NA
"1201","RT @speakingabtpain: The #Democratic candidates addressed the #overdosecrisis last night. I spoke with @Newsweek and @BlakeDodge on why tha…",FALSE,0,NA,2019-12-11 16:14:14,FALSE,NA,"1204796541128658945",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Deeenst",38,TRUE,FALSE,NA,NA
"1202","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:13:01,FALSE,NA,"1204796237523718151",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thaddeu39272106",529,TRUE,FALSE,NA,NA
"1203","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:08:10,FALSE,NA,"1204795017891663872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melissafreak97",529,TRUE,FALSE,NA,NA
"1204","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:05:25,FALSE,NA,"1204794325403652097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsdooi",529,TRUE,FALSE,NA,NA
"1205","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:56:07,FALSE,NA,"1204791984709353472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3Stan_Tyler",529,TRUE,FALSE,NA,NA
"1206","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:55:04,FALSE,NA,"1204791718647746562",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","forkball88",529,TRUE,FALSE,NA,NA
"1207","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:52:09,FALSE,NA,"1204790986200829952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","geryfesalvo",529,TRUE,FALSE,NA,NA
"1208","Who's in and out of December’s #DemocraticDebate #VoteBlueNoMatterWho  https://t.co/mQKwlyX0OS",FALSE,0,NA,2019-12-11 15:50:34,FALSE,NA,"1204790585913217024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JSavoly",0,FALSE,FALSE,NA,NA
